"","t","DS","NS","PS3","PS4","PS5","PSP","PSV","ThreeDS","Wii","WiiU","x360","XOne","XS"
"183",2008-05-24,129629,NA,40252,NA,NA,45454,NA,NA,308891,NA,45371,NA,NA
"184",2008-05-31,139248,NA,37615,NA,NA,52491,NA,NA,150985,NA,49264,NA,NA
"185",2008-06-07,174652,NA,45094,NA,NA,59777,NA,NA,127453,NA,48177,NA,NA
"186",2008-06-14,199917,NA,140917,NA,NA,67422,NA,NA,110503,NA,49517,NA,NA
"187",2008-06-21,152469,NA,68023,NA,NA,61710,NA,NA,148431,NA,46169,NA,NA
"188",2008-06-28,171005,NA,49948,NA,NA,57027,NA,NA,231165,NA,47702,NA,NA
"189",2008-07-05,166931,NA,53604,NA,NA,54856,NA,NA,132426,NA,43669,NA,NA
"190",2008-07-12,178228,NA,66253,NA,NA,62146,NA,NA,128288,NA,40782,NA,NA
"191",2008-07-19,164197,NA,59375,NA,NA,65725,NA,NA,133615,NA,76548,NA,NA
"192",2008-07-26,165208,NA,31560,NA,NA,65079,NA,NA,149861,NA,63693,NA,NA
"193",2008-08-02,177732,NA,40008,NA,NA,56569,NA,NA,100223,NA,55159,NA,NA
"194",2008-08-09,138421,NA,46698,NA,NA,50171,NA,NA,94116,NA,45017,NA,NA
"195",2008-08-16,130098,NA,50445,NA,NA,63720,NA,NA,80319,NA,43741,NA,NA
"196",2008-08-23,113277,NA,59524,NA,NA,62035,NA,NA,122944,NA,41227,NA,NA
"197",2008-08-30,146969,NA,58149,NA,NA,55287,NA,NA,118620,NA,41974,NA,NA
"198",2008-09-06,143018,NA,48214,NA,NA,53191,NA,NA,122867,NA,81908,NA,NA
"199",2008-09-13,132559,NA,42489,NA,NA,48324,NA,NA,143275,NA,78533,NA,NA
"200",2008-09-20,117209,NA,38215,NA,NA,45403,NA,NA,88262,NA,62296,NA,NA
"201",2008-09-27,125772,NA,41068,NA,NA,44738,NA,NA,114595,NA,64955,NA,NA
"202",2008-10-04,110997,NA,48688,NA,NA,42547,NA,NA,97456,NA,64344,NA,NA
"203",2008-10-11,136135,NA,47165,NA,NA,47681,NA,NA,146863,NA,70863,NA,NA
"204",2008-10-18,140713,NA,51360,NA,NA,50457,NA,NA,178427,NA,75335,NA,NA
"205",2008-10-25,137561,NA,59967,NA,NA,51945,NA,NA,190249,NA,81236,NA,NA
"206",2008-11-01,135709,NA,57029,NA,NA,50800,NA,NA,215874,NA,85955,NA,NA
"207",2008-11-08,162853,NA,62990,NA,NA,56544,NA,NA,254353,NA,108511,NA,NA
"208",2008-11-15,212102,NA,69792,NA,NA,62908,NA,NA,338536,NA,125968,NA,NA
"209",2008-11-22,274797,NA,80495,NA,NA,74945,NA,NA,388213,NA,159386,NA,NA
"210",2008-11-29,760110,NA,174829,NA,NA,221277,NA,NA,766179,NA,417995,NA,NA
"211",2008-12-06,444795,NA,128148,NA,NA,158794,NA,NA,419384,NA,251677,NA,NA
"212",2008-12-13,599132,NA,156934,NA,NA,195843,NA,NA,544245,NA,312095,NA,NA
"213",2008-12-20,816457,NA,198393,NA,NA,269751,NA,NA,712341,NA,441272,NA,NA
"214",2008-12-27,740400,NA,170297,NA,NA,229866,NA,NA,413488,NA,346832,NA,NA
"215",2009-01-03,91828,NA,68372,NA,NA,81349,NA,NA,106425,NA,115909,NA,NA
"216",2009-01-10,88923,NA,63486,NA,NA,61184,NA,NA,91383,NA,87045,NA,NA
"217",2009-01-17,91606,NA,46338,NA,NA,49510,NA,NA,121186,NA,64833,NA,NA
"218",2009-01-24,142412,NA,46673,NA,NA,44123,NA,NA,226247,NA,69213,NA,NA
"219",2009-01-31,195624,NA,57237,NA,NA,66495,NA,NA,248405,NA,98222,NA,NA
"220",2009-02-07,138916,NA,53528,NA,NA,53482,NA,NA,201307,NA,82728,NA,NA
"221",2009-02-14,122138,NA,47043,NA,NA,46479,NA,NA,166740,NA,77654,NA,NA
"222",2009-02-21,131009,NA,64446,NA,NA,47513,NA,NA,206765,NA,95688,NA,NA
"223",2009-02-28,107510,NA,77953,NA,NA,42729,NA,NA,153061,NA,79372,NA,NA
"224",2009-03-07,98951,NA,56721,NA,NA,38825,NA,NA,143822,NA,67250,NA,NA
"225",2009-03-14,121087,NA,64739,NA,NA,37187,NA,NA,161209,NA,81328,NA,NA
"226",2009-03-21,136107,NA,56074,NA,NA,41510,NA,NA,144334,NA,68170,NA,NA
"227",2009-03-28,157099,NA,48481,NA,NA,37325,NA,NA,112674,NA,60712,NA,NA
"228",2009-04-04,109001,NA,43923,NA,NA,35102,NA,NA,102522,NA,53755,NA,NA
"229",2009-04-11,459757,NA,40227,NA,NA,32993,NA,NA,98248,NA,50995,NA,NA
"230",2009-04-18,232663,NA,36341,NA,NA,30561,NA,NA,89414,NA,46882,NA,NA
"231",2009-04-25,156480,NA,32268,NA,NA,27075,NA,NA,84177,NA,42468,NA,NA
"232",2009-05-02,143228,NA,30564,NA,NA,26168,NA,NA,80279,NA,39732,NA,NA
"233",2009-05-09,124957,NA,28297,NA,NA,25404,NA,NA,74099,NA,37087,NA,NA
"234",2009-05-16,116853,NA,30891,NA,NA,24830,NA,NA,68657,NA,39237,NA,NA
"235",2009-05-23,121172,NA,35470,NA,NA,26550,NA,NA,76709,NA,44770,NA,NA
"236",2009-05-30,118062,NA,37898,NA,NA,26925,NA,NA,74103,NA,43961,NA,NA
"237",2009-06-06,128788,NA,32678,NA,NA,26703,NA,NA,69038,NA,46240,NA,NA
"238",2009-06-13,145030,NA,36052,NA,NA,30454,NA,NA,74939,NA,50003,NA,NA
"239",2009-06-20,157275,NA,33637,NA,NA,30674,NA,NA,74021,NA,47896,NA,NA
"240",2009-06-27,151373,NA,32037,NA,NA,35013,NA,NA,73823,NA,46545,NA,NA
"241",2009-07-04,143660,NA,30371,NA,NA,33850,NA,NA,69920,NA,46074,NA,NA
"242",2009-07-11,140742,NA,30768,NA,NA,33105,NA,NA,66477,NA,47971,NA,NA
"243",2009-07-18,132987,NA,33536,NA,NA,32744,NA,NA,68342,NA,48973,NA,NA
"244",2009-07-25,128148,NA,32530,NA,NA,32313,NA,NA,71760,NA,47504,NA,NA
"245",2009-08-01,122581,NA,32304,NA,NA,31658,NA,NA,98448,NA,47264,NA,NA
"246",2009-08-08,127422,NA,29876,NA,NA,30025,NA,NA,82187,NA,45464,NA,NA
"247",2009-08-15,122833,NA,29101,NA,NA,28193,NA,NA,77005,NA,51043,NA,NA
"248",2009-08-22,135450,NA,32593,NA,NA,26807,NA,NA,65809,NA,47574,NA,NA
"249",2009-08-29,117765,NA,92895,NA,NA,48578,NA,NA,63473,NA,62948,NA,NA
"250",2009-09-05,110370,NA,143963,NA,NA,31584,NA,NA,60105,NA,73852,NA,NA
"251",2009-09-12,116652,NA,98990,NA,NA,29267,NA,NA,61955,NA,66062,NA,NA
"252",2009-09-19,130170,NA,72984,NA,NA,27754,NA,NA,67813,NA,62941,NA,NA
"253",2009-09-26,114731,NA,69474,NA,NA,25946,NA,NA,55692,NA,73173,NA,NA
"254",2009-10-03,141320,NA,73952,NA,NA,50322,NA,NA,143288,NA,65071,NA,NA
"255",2009-10-10,126482,NA,69120,NA,NA,40584,NA,NA,158321,NA,67361,NA,NA
"256",2009-10-17,116528,NA,92183,NA,NA,37175,NA,NA,154058,NA,66124,NA,NA
"257",2009-10-24,112837,NA,81631,NA,NA,36636,NA,NA,162245,NA,65811,NA,NA
"258",2009-10-31,113239,NA,83049,NA,NA,35544,NA,NA,154414,NA,72530,NA,NA
"259",2009-11-07,148916,NA,89185,NA,NA,38920,NA,NA,184862,NA,155446,NA,NA
"260",2009-11-14,203639,NA,108776,NA,NA,43301,NA,NA,206768,NA,177730,NA,NA
"261",2009-11-21,289212,NA,121023,NA,NA,55196,NA,NA,294086,NA,140091,NA,NA
"262",2009-11-28,891420,NA,417864,NA,NA,129586,NA,NA,521456,NA,311113,NA,NA
"263",2009-12-05,464959,NA,191327,NA,NA,87153,NA,NA,791002,NA,199593,NA,NA
"264",2009-12-12,626322,NA,246885,NA,NA,117203,NA,NA,546935,NA,261275,NA,NA
"265",2009-12-19,725928,NA,314313,NA,NA,162882,NA,NA,695137,NA,354204,NA,NA
"266",2009-12-26,836679,NA,388363,NA,NA,195103,NA,NA,787468,NA,395070,NA,NA
"267",2010-01-02,232433,NA,115891,NA,NA,66118,NA,NA,263121,NA,117489,NA,NA
"268",2010-01-09,134867,NA,95234,NA,NA,47787,NA,NA,158886,NA,77188,NA,NA
"269",2010-01-16,122534,NA,71986,NA,NA,36855,NA,NA,96827,NA,63171,NA,NA
"270",2010-01-23,132350,NA,81026,NA,NA,44226,NA,NA,158938,NA,73966,NA,NA
"271",2010-01-30,133612,NA,82345,NA,NA,41559,NA,NA,154919,NA,99097,NA,NA
"272",2010-02-06,117191,NA,78172,NA,NA,32043,NA,NA,136734,NA,86517,NA,NA
"273",2010-02-13,123612,NA,88729,NA,NA,29416,NA,NA,94992,NA,103513,NA,NA
"274",2010-02-20,140490,NA,97476,NA,NA,35380,NA,NA,129613,NA,106078,NA,NA
"275",2010-02-27,128864,NA,103113,NA,NA,32017,NA,NA,105754,NA,94964,NA,NA
"276",2010-03-06,117224,NA,79961,NA,NA,25485,NA,NA,162743,NA,79745,NA,NA
"277",2010-03-13,110688,NA,96881,NA,NA,30185,NA,NA,115475,NA,83152,NA,NA
"278",2010-03-20,123685,NA,74904,NA,NA,32608,NA,NA,122838,NA,74307,NA,NA
"279",2010-03-27,125364,NA,96231,NA,NA,27238,NA,NA,111222,NA,76664,NA,NA
"280",2010-04-03,178582,NA,93861,NA,NA,25328,NA,NA,109235,NA,75241,NA,NA
